title,search_term_x,dog_order,dog_order_by_size,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed,breed_in_query,queries,term,suggestion,str_position,search_start,search_end_x,search_end_y,search_term_y,term_category,terms_grouped,question_order
Doberman,doberman,25,12,Working,/search/breeds-a-to-z/breeds/working/dobermann/,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,doberman,why+does+my+doberman,why+does+my+doberman,why does my doberman shake,12,why does my,shake,shake,shake,health,shake,55
Dalmatian,dalmatian,24,11,Utility,/search/breeds-a-to-z/breeds/utility/dalmatian/,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No,dalmatian,why+does+my+dalmatian,why+does+my+dalmatian,why does my dalmatian shake,12,why does my,shake,shake,shake,health,shake,55
Dachshund (Long Haired),dachshund,23,12,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No,dachshund,why+does+my+dachshund,why+does+my+dachshund,why does my dachshund shake,12,why does my,shake,shake,shake,health,shake,55
Corgi,corgi,22,15,,,,,,,,,Small,,,,,corgi,why+does+my+corgi,why+does+my+corgi,why does my corgi shake,12,why does my,shake,shake,shake,health,shake,55
Cocker Spaniel,cocker+spaniel,20,14,,,,,,,,,Medium,,,,,cocker+spaniel,why+does+my+cocker+spaniel,why+does+my+cocker+spaniel,why does my cocker spaniel shake,12,why does my,shake,shake,shake,health,shake,55
Chiweenie,chiweenie,17,17,,,,,,,,,Small,,,,,chiweenie,why+does+my+chiweenie,why+does+my+chiweenie,why does my chiweenie shake,12,why does my,shake,shake,shake,health,shake,55
Chihuahua,chihuahua,16,18,,,,,,,,,Small,,,,,chihuahua,why+does+my+chihuahua,why+does+my+chihuahua,why does my chihuahua shake,12,why does my,shake,shake,shake,health,shake,55
Cane Corso,cane+corso,14,14,,,,,,,,,Large,,,,,cane+corso,why+does+my+cane+corso,why+does+my+cane+corso,why does my cane corso shake,12,why does my,shake,shake,shake,health,shake,55
Boston Terrier,boston+terrier,10,20,Utility,/search/breeds-a-to-z/breeds/utility/boston-terrier/,/media/2910/boston-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812320000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,boston+terrier,why+does+my+boston+terrier,why+does+my+boston+terrier,why does my boston terrier shake,12,why does my,shake,shake,shake,health,shake,55
Border Terrier,border+terrier,9,21,Terrier,/search/breeds-a-to-z/breeds/terrier/border-terrier/,/media/1526/border-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143779610000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,border+terrier,why+does+my+border+terrier,why+does+my+border+terrier,why does my border terrier shake,12,why does my,shake,shake,shake,health,shake,55
Beagle,beagle,4,23,Hound,/search/breeds-a-to-z/breeds/hound/beagle/,/media/1353/beagle-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454670000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,beagle,why+does+my+beagle,why+does+my+beagle,why does my beagle shake,12,why does my,shake,shake,shake,health,shake,55
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,yorkshire+terrier,why+does+my+yorkshire+terrier,why+does+my+yorkshire+terrier,why does my yorkshire terrier smell,12,why does my,smell,smell,smell,odeur,smell,73
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,weimaraner,why+does+my+weimaraner,why+does+my+weimaraner,why does my weimaraner smell,12,why does my,smell,smell,smell,odeur,smell,73
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,,vizsla,why+does+my+vizsla,why+does+my+vizsla,why does my vizsla smell,12,why does my,smell,smell,smell,odeur,smell,73
Staffordshire Bull Terrier,staffy,56,3,Terrier,/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/,/media/1589/staffordshire-bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800790000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,staffy,why+does+my+staffy,why+does+my+staffy,why does my staffy smell,12,why does my,smell,smell,smell,odeur,smell,73
Shih Tzu,shih+tzu,52,4,Utility,/search/breeds-a-to-z/breeds/utility/shih-tzu/,/media/2976/shih-tzu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870800000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,shih+tzu,why+does+my+shih+tzu,why+does+my+shih+tzu,why does my shih tzu smell,12,why does my,smell,smell,smell,odeur,smell,73
Schnauzer,schnauzer,49,6,Utility,/search/breeds-a-to-z/breeds/utility/schnauzer/,/media/2975/schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870290000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,schnauzer,why+does+my+schnauzer,why+does+my+schnauzer,why does my schnauzer smell,12,why does my,smell,smell,smell,odeur,smell,73
Samoyed,samoyed,48,7,Pastoral,/search/breeds-a-to-z/breeds/pastoral/samoyed/,/media/1495/samoyed-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638080000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,samoyed,why+does+my+samoyed,why+does+my+samoyed,why does my samoyed smell,12,why does my,smell,smell,smell,odeur,smell,73
Retriever (Labrador),labrador,46,4,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-labrador/,/media/1185/retriever-labrador-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433580000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,labrador,why+does+my+labrador,why+does+my+labrador,why does my labrador smell,12,why does my,smell,smell,smell,odeur,smell,73
Retriever (Golden),golden+retriever,45,5,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-golden/,/media/1184/retriever-golden-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140431570000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,golden+retriever,why+does+my+golden+retriever,why+does+my+golden+retriever,why does my golden retriever smell,12,why does my,smell,smell,smell,odeur,smell,73
Pug,pug,44,5,Toy,/search/breeds-a-to-z/breeds/toy/pug/,/media/1661/pug-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810750000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pug,why+does+my+pug,why+does+my+pug,why does my pug smell,12,why does my,smell,smell,smell,odeur,smell,73
Pekingese,pekingese,41,8,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pekingese,why+does+my+pekingese,why+does+my+pekingese,why does my pekingese smell,12,why does my,smell,smell,smell,odeur,smell,73
Malamute,malamute,37,7,,,,,,,,,Large,,,,,malamute,why+does+my+malamute,why+does+my+malamute,why does my malamute smell,12,why does my,smell,smell,smell,odeur,smell,73
Labradoodle,labradoodle,35,8,,,,,,,,,Medium,,,,,labradoodle,why+does+my+labradoodle,why+does+my+labradoodle,why does my labradoodle smell,12,why does my,smell,smell,smell,odeur,smell,73
Havanese,havanese,33,13,Toy,/search/breeds-a-to-z/breeds/toy/havanese/,/media/1631/havanese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805500000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,havanese,why+does+my+havanese,why+does+my+havanese,why does my havanese smell,12,why does my,smell,smell,smell,odeur,smell,73
Goldendoodle,goldendoodle,29,9,,,,,,,,,Medium,,,,,goldendoodle,why+does+my+goldendoodle,why+does+my+goldendoodle,why does my goldendoodle smell,12,why does my,smell,smell,smell,odeur,smell,73
French Bulldog,french+bulldog,26,14,Utility,/search/breeds-a-to-z/breeds/utility/french-bulldog/,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,french+bulldog,why+does+my+french+bulldog,why+does+my+french+bulldog,why does my french bulldog smell,12,why does my,smell,smell,smell,odeur,smell,73
Dachshund (Long Haired),dachshund,23,12,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No,dachshund,why+does+my+dachshund,why+does+my+dachshund,why does my dachshund smell,12,why does my,smell,smell,smell,odeur,smell,73
Cocker Spaniel,cocker+spaniel,20,14,,,,,,,,,Medium,,,,,cocker+spaniel,why+does+my+cocker+spaniel,why+does+my+cocker+spaniel,why does my cocker spaniel smell,12,why does my,smell,smell,smell,odeur,smell,73
Cockapoo,cockapoo,19,16,,,,,,,,,Small,,,,,cockapoo,why+does+my+cockapoo,why+does+my+cockapoo,why does my cockapoo smell,12,why does my,smell,smell,smell,odeur,smell,73
Chow Chow,chow+chow,18,13,Utility,/search/breeds-a-to-z/breeds/utility/chow-chow/,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Small/ medium garden,Large house,Country,No,chow+chow,why+does+my+chow+chow,why+does+my+chow+chow,why does my chow chow smell,12,why does my,smell,smell,smell,odeur,smell,73
Cavapoo,cavapoo,15,19,,,,,,,,,Small,,,,,cavapoo,why+does+my+cavapoo,why+does+my+cavapoo,why does my cavapoo smell,12,why does my,smell,smell,smell,odeur,smell,73
Bichon Frise,bichon+frise,7,22,Toy,/search/breeds-a-to-z/breeds/toy/bichon-frise/,/media/1604/bichon-frise-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802390000000,Medium,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,bichon+frise,why+does+my+bichon+frise,why+does+my+bichon+frise,why does my bichon frise smell,12,why does my,smell,smell,smell,odeur,smell,73
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,yorkshire+terrier,why+does+my+yorkshire+terrier,why+does+my+yorkshire+terrier,why does my yorkshire terrier keeps scratching,12,why does my,keeps scratching,keeps scratching,keeps scratching,behaviour,scratch,28
Bichon Frise,bichon+frise,7,22,Toy,/search/breeds-a-to-z/breeds/toy/bichon-frise/,/media/1604/bichon-frise-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802390000000,Medium,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,bichon+frise,why+does+my+bichon+frise,why+does+my+bichon+frise,why does my bichon frise keeps scratching,12,why does my,keeps scratching,keeps scratching,keeps scratching,behaviour,scratch,28
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,yorkshire+terrier,why+does+my+yorkshire+terrier,why+does+my+yorkshire+terrier,why does my yorkshire terrier lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Shih Tzu,shih+tzu,52,4,Utility,/search/breeds-a-to-z/breeds/utility/shih-tzu/,/media/2976/shih-tzu-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870800000000,Long,Up to 1 hour per day,Every day,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,shih+tzu,why+does+my+shih+tzu,why+does+my+shih+tzu,why does my shih tzu lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Poodle (Miniature),poodle,43,6,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No,poodle,why+does+my+poodle,why+does+my+poodle,why does my poodle lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Pekingese,pekingese,41,8,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pekingese,why+does+my+pekingese,why+does+my+pekingese,why does my pekingese lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Maltese,maltese,38,10,Toy,/search/breeds-a-to-z/breeds/toy/maltese/,/media/1646/maltese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143807800000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,maltese,why+does+my+maltese,why+does+my+maltese,why does my maltese lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Goldendoodle,goldendoodle,29,9,,,,,,,,,Medium,,,,,goldendoodle,why+does+my+goldendoodle,why+does+my+goldendoodle,why does my goldendoodle lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Dachshund (Long Haired),dachshund,23,12,Hound,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Medium,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Medium,Small/ medium garden,Small house,Either,No,dachshund,why+does+my+dachshund,why+does+my+dachshund,why does my dachshund lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Cavapoo,cavapoo,15,19,,,,,,,,,Small,,,,,cavapoo,why+does+my+cavapoo,why+does+my+cavapoo,why does my cavapoo lick so much,12,why does my,lick so much,lick so much,lick so much,behaviour,lick,23
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,yorkshire+terrier,why+does+my+yorkshire+terrier,why+does+my+yorkshire+terrier,why does my yorkshire terrier smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Shar Pei,shar+pei,50,5,Utility,/search/breeds-a-to-z/breeds/utility/shar-pei/,/media/1737/shar-pei-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870590000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,shar+pei,why+does+my+shar+pei,why+does+my+shar+pei,why does my shar pei smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Miniature Schnauzer,miniature+schnauzer,40,9,Utility,/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/,/media/2960/miniature-schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143867930000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,miniature+schnauzer,why+does+my+miniature+schnauzer,why+does+my+miniature+schnauzer,why does my miniature schnauzer smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Mastiff,mastiff,39,6,Working,/search/breeds-a-to-z/breeds/working/mastiff/,/media/1803/masttiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236750000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes,mastiff,why+does+my+mastiff,why+does+my+mastiff,why does my mastiff smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Great Dane,great+dane,30,10,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,great+dane,why+does+my+great+dane,why+does+my+great+dane,why does my great dane smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Doberman,doberman,25,12,Working,/search/breeds-a-to-z/breeds/working/dobermann/,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,doberman,why+does+my+doberman,why+does+my+doberman,why does my doberman smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Bulldog,bulldog,13,15,Utility,/search/breeds-a-to-z/breeds/utility/bulldog/,/media/2913/bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812570000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,bulldog,why+does+my+bulldog,why+does+my+bulldog,why does my bulldog smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Border Terrier,border+terrier,9,21,Terrier,/search/breeds-a-to-z/breeds/terrier/border-terrier/,/media/1526/border-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143779610000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,border+terrier,why+does+my+border+terrier,why+does+my+border+terrier,why does my border terrier smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Basset Hound,basset+hound,3,19,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound smell so bad,12,why does my,smell so bad,smell so bad,smell so bad,odeur,smell,73
Yorkshire Terrier,yorkshire+terrier,60,1,Toy,/search/breeds-a-to-z/breeds/toy/yorkshire-terrier/,/media/1665/yorkshire-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143811590000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,yorkshire+terrier,why+does+my+yorkshire+terrier,why+does+my+yorkshire+terrier,why does my yorkshire terrier have floppy ears,12,why does my,have floppy ears,have floppy ears,have floppy ears,appearance,have floppy / pointy ears / ears down,3
Belgian Malinois,belgian+malinois,5,18,,,,,,,,,Medium,,,,,belgian+malinois,why+does+my+belgian+malinois,why+does+my+belgian+malinois,why does my belgian malinois have floppy ears,12,why does my,have floppy ears,have floppy ears,have floppy ears,appearance,have floppy / pointy ears / ears down,3
